id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
52,XRP,XRP,xrp,1287,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55051549471.0,99987715632.0,False,,6,,,,2024-04-08T11:02:00.000Z,0.6080483781008239,1507796568.4965563,80.0484,0.03956127,1.80465408,-0.57204396,-2.38926761,18.15630073,7.20642222,33474005367.77882,1.2424,60804837810.08,,2024-04-08T11:02:00.000Z,,,,,,2024-04-08 13:03:01.461612
3408,USDC,USDC,usd-coin,18006,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,32844918478.36245,32844918478.36245,False,,7,,,,2024-04-08T11:01:00.000Z,0.999973634343724,6587820103.843736,59.2066,-0.02923034,0.00505264,-0.0210792,0.01767265,0.00698962,-0.01487041,32844052500.531437,1.2184,32844052500.53,,2024-04-08T11:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-08 13:03:01.461612
74,Dogecoin,DOGE,dogecoin,947,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143799676383.70526,143799676383.70526,True,,8,,,,2024-04-08T11:02:00.000Z,0.20753523486093878,2474475611.8460526,17.5829,0.60758874,5.35880263,0.56920871,25.02814474,159.24817965,163.66637003,29843499611.21926,1.1075,29843499611.22,,2024-04-08T11:02:00.000Z,,,,,,2024-04-08 13:03:01.461612
2010,Cardano,ADA,cardano,1126,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35602720555.912,36771024607.588,False,,9,,,,2024-04-08T11:01:00.000Z,0.6091371216149635,403726627.2779884,55.781,0.16490894,2.88433734,-3.55420092,-16.50382038,13.95071161,16.51424684,21686938721.09013,0.8045,27411170472.67,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:03:01.461612
11419,Toncoin,TON,toncoin,264,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3470639852.7342553,5105067881.355907,True,,10,3414166606.0,20113458433.889725,,2024-04-08T11:01:00.000Z,5.891176604721827,197111204.7177819,30.8878,2.54321706,8.50910682,10.58281249,105.19751659,185.44490705,162.92741251,20446152303.84325,0.7587,30074856468.16,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:03:01.461612
5805,Avalanche,AVAX,avalanche,702,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377886972.92680603,436576612.92680603,False,,11,,,,2024-04-08T11:01:00.000Z,50.69940987354474,453040211.6665608,5.9772,0.60200296,4.30673178,-2.37994618,18.04616584,43.01014134,39.44166636,19158646526.28924,0.7107,36288037671.05,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:03:01.461612
5994,Shiba Inu,SHIB,shiba-inu,787,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,12,,,,2024-04-08T11:01:00.000Z,2.9077094025736768e-05,728053853.7132941,37.6071,-0.1225647,2.8703657,1.04890618,-15.71313998,216.7214229,210.58701494,17134823606.571638,0.6356,17141938064.28,,2024-04-08T11:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-08 13:03:01.461612
1831,Bitcoin Cash,BCH,bitcoin-cash,873,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19688818.75,19688818.75,False,,13,,,,2024-04-08T11:01:00.000Z,706.6103694999365,781103060.6644157,-7.3545,1.58867215,4.0394305,5.65477665,63.49304524,191.67501101,183.90449549,13912323491.954779,0.5161,14838817759.5,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:03:01.461612
6636,Polkadot,DOT,polkadot-new,729,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1431139126.10893,1431139126.10893,True,,14,,,,2024-04-08T11:02:00.000Z,8.987559948041243,225500445.1128012,32.912,0.22331035,3.90048754,-2.79966591,-16.3354272,29.48819054,21.28737486,12862448689.891365,0.4774,12862448689.89,,2024-04-08T11:02:00.000Z,,,,,,2024-04-08 13:03:01.461612
1975,Chainlink,LINK,chainlink,1713,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,15,,,,2024-04-08T11:01:00.000Z,18.63172632172023,316372988.8122727,52.1216,0.46448692,4.97220068,0.84597341,-6.0979738,-0.8408835,34.87108204,10938685972.966354,0.4058,18631726321.72,,2024-04-08T11:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-04-08 13:03:01.461612
1,Bitcoin,BTC,bitcoin,10960,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19676762.0,19676762.0,False,,1,,,,2024-04-08T11:03:00.000Z,72254.55955104229,30533926091.538136,53.9264,0.1667149,4.14639033,3.71042865,5.5743109,61.37510398,55.38466805,1421735771700.686,52.7494,1517345750571.89,,2024-04-08T11:03:00.000Z,,,,,,2024-04-08 13:04:21.024722
